Video ID,Views,Likes,Comments,Duration
BVZ_L-r0qcQ,140817,10230,93,PT3H40M45S
pgPLAaNrwUg,96739,8889,79,PT2H52M56S
xGozlmT7R5A,237297,25885,629,PT10M10S
wagscrxVvJI,211777,25921,1298,PT14M4S
27F2EHzVPM0,91209,8209,100,PT3H27M36S
RXfMx9oWM9U,526541,50159,2192,PT15M56S
Y5mLs__MkwI,440998,53270,6686,PT22M38S
oVrPuGThvQE,125294,10710,188,PT2H32M23S
Pbdsd3s2tkc,297177,30457,1069,PT11M51S
zFlgFnAN6uE,136306,9899,231,PT5H19M48S
DiAhrzrFDuQ,100447,8556,166,PT3H20M45S
T0iart_C5Uc,114454,8736,151,PT6H29M29S
IMLR_ktSqdo,91357,7982,188,PT2H26M36S
G8GqfRf0z9o,127761,10858,181,PT2H35M34S
xiYedbzxaj4,110959,9457,180,PT2H52M14S
CDl4n7d3wVE,153583,12745,231,PT2H19M35S
UQ20eIQhr5s,317116,30489,2094,PT12M53S
LVBlv3bO9_g,146809,11550,155,PT2H13M2S
9n5BOeeUVZ0,748261,68401,1780,PT8M30S
IWFI9WLUnIE,244029,22686,226,PT3H19M12S
mh8qMVK0bSI,611097,67266,2138,PT16M24S
ozUuLobX9hE,182696,15456,249,PT2H9M39S
V7FWaOhW4B4,169741,15051,208,PT1H54M49S
O4x-Y2vXQPc,395180,25472,417,PT7H43M4S
2FzUuxf4GSA,246612,19238,224,PT4H9M14S
Copx7cXaPxA,246812,20603,421,PT3H54M19S
vXappXE8uGw,195795,16491,206,PT3H7M24S
eGQMPtcJ9co,228429,18872,466,PT4H3M37S
5dZgmXjlesQ,345512,26184,477,PT6H45M20S
iVVxu5n6zFU,266652,23795,392,PT4H45M5S
BV24UCmPFB0,302595,26954,760,PT5H44M55S
vRcVsKKCgfo,327505,28589,607,PT9M9S
9GP7rpakE9k,303292,31095,525,PT4H20M50S
iiInoB2oAyU,211751,20374,291,PT2H51M38S
FTzQENf2Qmc,197193,16281,215,PT4H32M3S
vOGhpderxFs,190379,15821,283,PT2H42M37S
xhEQQgLEjXw,273554,24865,283,PT3H58M30S
86Uspi_s6fQ,133746,11806,232,PT1H35M8S
YdSfCg2vZ3I,155546,11375,149,PT4H40M3S
OrScd-JsX1I,218658,18774,268,PT2H42M44S
zooyoEm-Q8g,184328,14123,236,PT5H4M21S
ICqwS6-gmnw,183932,16775,271,PT3H7M27S
vp9S48FubNA,218139,22016,308,PT3H13M2S
2O4oTNjrz04,165302,12823,273,PT4H35M25S
WThHDN6k2vI,157341,13845,384,PT2H13M52S
Cf96yg1ej_c,107007,10123,318,PT1H14M45S
dDNNicAU77M,107224,11179,282,PT2H1M16S
h7C-1RN3rfo,23055,3763,528,PT3M53S
s2jy4Zb9jdA,248167,17331,661,PT5H4M53S
SUQqPEUP4pM,204070,17794,674,PT3H30M26S
lDdBDi_CAuI,157635,12630,488,PT2H7S
AARgTf8chTk,207829,17449,564,PT4H6M11S
EOLPn4Dmim4,209524,17501,373,PT3H46M53S
yrkLV2J6zeE,228976,19995,330,PT3H43M9S
BkSk0gt0J-4,138221,12038,249,PT2H16M43S
hzz7VIcobP8,157927,10925,218,PT4H20M40S
jmqbeZBOyqU,196876,17945,158,PT2H36M37S
JaUJAFq9rcg,185995,16957,241,PT2H30M22S
Q3fILj-K4EA,177954,16105,264,PT2H35M46S
Hpct2ZqABkE,160675,14716,167,PT2H30M1S
joWj9bwUfDo,278032,20098,224,PT5H18M58S
V2Gp-2Jcqqw,165458,15389,196,PT2H41M54S
kXbSlnt_Xfc,175220,16128,221,PT2H28M9S
g1H9IiPcAoE,162752,15542,156,PT2H8M27S
irOQIl_lDUE,236997,18765,235,PT5H8M51S
yx4CnzSFUeg,223648,19332,807,PT3H55M49S
8EclSZVzpO0,188125,17589,138,PT2H46M38S
v0B92YVJYcA,157540,14360,113,PT2H10M58S
oyuJleGRnuY,142870,11242,300,PT3H27M4S
ezLayiVdik0,68161,6766,190,PT1H54M51S
UBtVITz9LJ4,195621,16526,108,PT3H15M16S
XcHYeuCgNJQ,302545,30518,1421,PT8M34S
jeALbVdUUjY,168980,14768,122,PT2H19M39S
VLzIperxdcE,202990,15991,173,PT2H53M41S
4e8exfudVfY,203912,17707,186,PT2H58S
qQ_BTJO3EK8,110074,11110,81,PT1H18M56S
ftc2Ee5RHps,141600,14238,126,PT2H8M24S
a4bt9MNFBag,153244,11224,169,PT4H16M14S
gJd0vvMxftM,349805,18803,483,PT11H51M11S
okPsKE1uAYM,96540,8104,144,PT3H7M44S
twklqnV0-Y4,112915,8774,286,PT3H2M7S
4Nrx6iG9Wm4,137807,11418,548,PT3H42M36S
mZiA6q4OWUs,163839,14876,356,PT3H3M5S
mMKzkkJtnbk,159271,12326,273,PT2H15M50S
yF7u6CD7HvY,178930,15056,146,PT3H3M6S
O-w_mFBpwOE,242842,18419,149,PT3H57M50S
6GIRhBzqStE,171713,14792,163,PT1H47M
WCyCqqFC0Pc,100934,8552,50,PT2H11S
